Date,CPI
2015-01-01,233.7
2015-02-01,234.7
2015-03-01,236.1
2015-04-01,236.6
2015-05-01,237.8
2015-06-01,238.6
2015-07-01,238.6
2015-08-01,238.3
2015-09-01,237.9
2015-10-01,237.8
2015-11-01,237.3
2015-12-01,236.5
2016-01-01,236.9
2016-02-01,237.1
2016-03-01,238.1
2016-04-01,239.3
2016-05-01,240.2
2016-06-01,241.0
2016-07-01,241.0
2016-08-01,240.8
2016-09-01,240.8
2016-10-01,241.7
2016-11-01,241.4
2016-12-01,241.4
2017-01-01,242.8
2017-02-01,243.6
2017-03-01,243.8
2017-04-01,244.5
2017-05-01,244.7
2017-06-01,244.9
2017-07-01,244.8
2017-08-01,245.5
2017-09-01,246.8
2017-10-01,246.7
2017-11-01,246.7
2017-12-01,246.5
